_id,hrg_current,hrg_last,id_kabkota,id_pasar,kategori,name,nm_kabkota,nm_pasar,perubahan,satuan,tanggal
625cf44ad849b4b11436bcc4,9000,-,bangkalankab,29,BERAS,- Bengawan,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcc5,7500,-,bangkalankab,29,BERAS,- Mentik,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcc6,6500,-,bangkalankab,29,BERAS,- IR 64,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcc7,9000,-,bangkalankab,29,GULA PASIR,- Gula Pasir Dalam Negri,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcc8,12250,-,bangkalankab,29,MINYAK GORENG,- Bimoli Botol / Kemasan (Sps) 620 ml,bangkalankab,Pasar Senenan,-,620 ml,2012-1-1
625cf44ad849b4b11436bcc9,26000,-,bangkalankab,29,MINYAK GORENG,- Bimoli botol/Kemasan (sps) 2 liter,bangkalankab,Pasar Senenan,-,2 Liter,2012-1-1
625cf44ad849b4b11436bcca,10000,-,bangkalankab,29,MINYAK GORENG,- Tanpa Merk / Minyak Curah,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bccb,-,-,bangkalankab,29,MINYAK GORENG,- Minyak Goreng Bimoli Botol/Kemasan (sps) 1 Liter,bangkalankab,Pasar Senenan,-,1 liter,2012-1-1
625cf44ad849b4b11436bccc,65000,-,bangkalankab,29,DAGING,- Daging Sapi Murni,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bccd,23000,-,bangkalankab,29,DAGING,- Daging Ayam Broiler,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcce,40000,-,bangkalankab,29,DAGING,- Daging Ayam Kampung,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bccf,14000,-,bangkalankab,29,TELUR AYAM,- Telur Ayam Ras / Petelur,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcd0,27000,-,bangkalankab,29,TELUR AYAM,- Telur Ayam Kampung,bangkalankab,Pasar Senenan,-,kg,2012-1-1
625cf44ad849b4b11436bcd1,8000,-,bangkalankab,29,SUSU,- Susu Kental Manis Merk Bendera,bangkalankab,Pasar Senenan,-,397 gr/kl,2012-1-1
625cf44ad849b4b11436bcd2,7500,-,bangkalankab,29,SUSU,- Susu Kental Manis Merk Indomilk,bangkalankab,Pasar Senenan,-,390 gr/kl,2012-1-1
625cf44ad849b4b11436bcd3,20500,-,bangkalankab,29,SUSU,- Susu Bubuk Merk Bendera (Instant),bangkalankab,Pasar Senenan,-,400 gr/dos,2012-1-1
625cf44ad849b4b11436bcd4,20000,-,bangkalankab,29,SUSU,- Susu Bubuk Merk Indomilk (Instant),bangkalankab,Pasar Senenan,-,400 gr/dos,2012-1-1
625cf44ad849b4b11436bcd5,5000,-,bangkalankab,29,- JAGUNG PIPILAN KERING,- JAGUNG PIPILAN KERING,bangkalankab,Pasar Senenan,-,kg,2012-1-1
